;Forbrugertillidsindikatoren;Familiens økonomiske situation i dag, sammenlignet med for et år siden;Familiens økonomiske  situation om et år, sammenlignet med i dag;Danmarks økonomiske situation i dag, sammenlignet med for et år siden;Danmarks økonomiske situation om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket;Priser i dag, sammenlignet med for et år siden;Priser om et år, sammenlignet med i dag;Arbejdsløsheden om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.;Anser det som fornuftigt at spare op i den nuværende økonomiske situation;Regner med at kunne spare op i de kommende 12 måneder;Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener
2003M03;-3;3;13;-16;-14;-2;-20;18;31;-9;73;29;26
2003M04;-2;4;13;-13;-10;-3;-15;15;32;-6;72;30;23
2003M05;1;9;15;-12;-2;-6;-20;8;25;-8;64;31;30
2003M06;1;10;17;-12;0;-8;-21;3;25;-4;59;28;26
2003M07;0;8;11;-10;-4;-5;-26;3;27;-7;63;28;28
2003M08;2;6;12;-5;1;-6;-22;-1;21;-4;69;29;24
2003M09;0;4;14;-7;1;-12;-22;-3;24;-6;72;25;23
2003M10;2;6;14;-7;1;-5;-28;-6;20;-3;73;27;26
2003M11;2;6;15;-7;-3;0;-25;5;27;-2;71;29;26
2003M12;1;5;16;-10;3;-8;-27;-2;22;-6;71;26;22
2004M01;5;10;16;-1;9;-9;-30;-4;13;-4;67;31;27
2004M02;2;4;16;-7;2;-6;-24;1;29;-2;66;29;23
2004M03;3;7;14;-5;2;-5;-24;3;21;-3;71;28;22
2004M04;8;12;19;5;10;-7;-29;-5;10;1;65;24;25
2004M05;8;12;15;9;7;-4;-28;-10;10;-1;68;29;27
2004M06;7;13;16;7;6;-6;-27;-5;2;-1;71;28;27
2004M07;8;13;14;8;6;0;-30;-6;2;-2;66;30;25
2004M08;10;15;17;11;5;0;-30;-7;2;-3;75;37;29
2004M09;7;12;14;9;6;-9;-31;-7;3;-2;75;37;31
2004M10;7;11;14;8;4;-3;-29;-3;10;0;75;36;28
2004M11;7;12;14;8;2;-3;-33;-8;8;0;75;35;29
2004M12;8;14;15;14;6;-7;-30;-8;7;-2;74;35;29
2005M01;11,2;13,3;16,3;15,8;9,5;1,3;-32,1;-7,4;3,9;-0,5;72,3;38,2;33,1
2005M02;8,9;13,7;15,8;13,1;7,2;-5,1;-35,7;-16,8;5,1;0,6;69,9;37,9;29,5
2005M03;4,6;11,1;16,2;7,9;1,9;-13,9;-34,5;-6,9;13,7;-2,2;75,4;37,8;30,6
2005M04;8;12,3;15,1;14,8;4,2;-6,2;-26,9;-5,5;5,6;2,1;67,7;37,5;29
2005M05;7,1;11,2;15,1;13,8;5,4;-10,2;-27;-13,6;4,4;-3,3;71,4;38,5;27,8
2005M06;5,6;9,5;16,8;11,8;1,6;-11,7;-31,7;-15,2;5,6;-1,9;72,7;39,9;27,2
2005M07;8,9;13,3;12,8;18;3,9;-3,6;-29,7;-7,6;1;-1,5;65;37,1;30,7
2005M08;11,1;13,7;15,5;21;6,1;-1;-21,7;-6,7;-3,3;-1,2;65;31;29,5
2005M09;9,7;10,7;13,8;19,8;7,4;-3,3;-19,4;9;-8;-0,2;71,9;35,3;29
2005M10;11,1;13,5;16,1;20,2;7,7;-2;-24,4;-10,1;-6,4;1,1;69,2;32,8;28,1
2005M11;11,2;13,1;13,8;22;7;0,2;-24,3;1,7;-6;-3,5;75,1;37,2;29,7
2005M12;8,4;12,9;15,2;20,8;6,6;-13,4;-26,1;1,6;-11;-1,9;72;34,4;28,7
2006M01;15,5;16,2;17,4;28,1;13,2;2,9;-26,9;2,3;-18,1;4,4;74;35,2;33,5
2006M02;11,8;11,7;15,5;24,5;7,6;-0,2;-26,1;5,5;-6,1;4,1;68,4;30,1;29,4
2006M03;10,4;13,2;16,2;20,3;5,3;-2,8;-29,2;1,3;-8;3,5;75,2;42,5;31,1
2006M04;11,1;11,8;15,3;23,7;6,9;-2,2;-24,2;-0,9;-13,4;4,1;73,4;32,3;28,3
2006M05;11,7;14,9;14;26;6,7;-2,9;-25,4;-5,1;-15;1,9;70,7;36,3;32
2006M06;9,3;16,8;17,6;20,9;0,3;-9,2;-24,8;-0,7;-12,8;1,5;72,3;34,9;31,7
2006M07;8,6;15,3;13;21,3;1,8;-8,6;-22;4,3;-13;-1,8;66,5;33,7;33,4
2006M08;10,4;15;14,4;27,5;4,4;-9,4;-21,1;4,8;-13;-1,3;76,5;38,7;29,1
2006M09;9,3;11,4;13,9;22,9;4,1;-5,6;-22,3;9,5;-14,1;-1,2;75,7;32,4;28,6
2006M10;9,3;12,8;15,2;22,5;5,4;-9,4;-27,3;-4,3;-11,6;3,1;75,5;32,1;29,8
2006M11;10,7;14,8;16,8;23,8;5;-6,9;-24,2;1;-14,2;0,4;76,5;40,3;30,3
2006M12;7,4;15;13,3;22;2,3;-15,5;-26,8;3,4;-9,4;-0,6;79;40,3;32,2
2007M01;11,8;12,6;16,4;27,4;7;-4,6;-25,7;1,1;-14,1;-0,8;77,9;36,9;34,1
2007M02;9,2;12,9;16,7;21,8;4,5;-10;-23,8;6,4;-10,8;-2,4;78,9;36,6;30,7
2007M03;8,8;11,9;17,8;21;4,8;-11,6;-22;1,3;-8,6;1,1;80,7;38,7;30,6
2007M04;8,6;12,1;16,7;18,7;4,5;-9;-19,5;5,2;-10,5;0,5;77,1;30,4;28,7
2007M05;7,9;12,1;15;16,8;4,8;-9,3;-18,6;2,1;-6,4;1;79,2;37,2;30,2
2007M06;9,3;14,2;17,1;16,8;4,2;-6;-17,5;-0,3;-9,9;3,3;76,3;34,3;31,7
2007M07;8,4;15,4;17,2;15,7;2,2;-8,5;-18,7;8,9;-11,2;-1,1;77,6;32,1;30,7
2007M08;5,3;14,1;18,7;11,3;1,2;-18,6;-16,8;7,7;-6,8;-2,1;80,8;30,8;27,5
2007M09;5,7;9,8;16,2;12,9;1,6;-11,8;-14,3;26,3;-8;-2,1;76,7;27,7;25,4
2007M10;5,4;12;18,5;8,4;1,7;-13,7;-10,8;15,4;-9,6;-2,7;78,3;24,1;24,8
2007M11;6,1;6,6;13,5;14,4;4,9;-8,8;-6,9;19,1;-7,6;-4,1;76,4;26,1;25,5
2007M12;2,9;7,4;14,2;8,5;-4,3;-11,5;2,8;23;2;-1,6;78,5;27,5;27,1
2008M01;-1,1;4,5;14,6;4,4;-12,2;-16,8;18,7;29,1;2,5;-3,5;83,7;20,8;24,1
2008M02;-2,5;4,6;12,2;-4,7;-12,6;-12,1;24,2;14,3;5,8;-2,1;75,5;26;24,3
2008M03;-1,3;4,1;14,8;-3,5;-9,6;-12,4;32;22,4;4,4;-0,7;76,7;26,7;26,6
2008M04;-3,1;5,7;14,6;-3,4;-15;-17,1;34,1;17,2;12,6;-4,9;80,7;25,1;25,4
2008M05;-3,5;8,1;14,5;-7,8;-14,3;-18,1;39,1;16,6;11,3;-2,8;79,4;28,2;25,2
2008M06;-6,6;6,5;8,8;-11,6;-19,8;-16,8;53,4;27,6;15,8;-6,5;81,4;28,5;25,7
2008M07;-9,7;6,7;10,4;-17,3;-21,9;-26,4;55;15,6;23,4;-8,4;78,9;19,2;20,4
2008M08;-12,2;2,5;9,2;-22,8;-20,7;-29,2;52,4;6,5;16,6;-8,6;70,8;24;23,3
2008M09;-11,1;2,1;11,3;-24,4;-22,3;-22,2;44,6;8;20,6;-7,3;73,4;28,1;24,7
2008M10;-16,6;-0,4;9,1;-40,2;-19,7;-31,7;42,1;-4,1;37,1;-12,6;80,8;17,7;24,2
2008M11;-11,5;0;12,4;-36,5;-2,2;-31,1;31,2;-13,7;41,3;-9,2;74,2;26,7;25,6
2008M12;-13,5;0,7;15,5;-40,6;-7,3;-35,6;8,1;-35,5;45,6;-7,9;69,3;26,7;19,9
2009M01;-9,1;0,5;14,7;-39,4;-3,8;-17,5;-8,4;-38,1;46,3;-10,3;75,7;28,2;25,4
2009M02;-11,3;2,5;13,5;-50,8;-5,3;-16,6;-15,6;-41,6;51,4;-10;70,3;24;24
2009M03;-11,7;-0,7;9,2;-53,3;1,2;-15;-16,6;-31,5;45,5;-8,4;67,4;26,3;25,1
2009M04;-4,4;1,6;12,3;-43,5;10,4;-2,6;-17,9;-33,2;31,8;-9,4;72,2;29,1;25,3
2009M05;-4,7;0,9;16,8;-44,8;14,9;-11,1;-16,2;-25,8;31;-4,6;66;25,9;27,4
2009M06;-5,5;-1;13,3;-44,1;10,9;-6,8;-19,1;-24,5;34,4;-5,1;65,8;24,7;25,4
2009M07;-3,2;-0,3;15,4;-43;19,2;-7,4;-11,6;-36,6;21,1;-7,7;69,4;27,7;26,1
2009M08;-2,6;0,1;12,2;-38,5;17,9;-4,7;-14,7;-25,5;28,4;-9,3;65,7;27,9;23,5
2009M09;-1,1;-0,4;14,3;-39,7;20,9;-0,7;-20,8;-23,2;17,5;-9,5;66,8;24,7;23,5
2009M10;-0,9;-0,6;13,6;-34,7;18,4;-1,1;-24,7;-26;19,1;-9,9;72,8;27,2;24,6
2009M11;-2,4;-0,3;12,8;-34,3;16,6;-6,5;-25,1;-23,1;24,9;-13,4;70,3;26;24,5
2009M12;-3,6;-0,9;14;-37,2;13,7;-7,6;-21,9;-25;22,1;-8,2;65;22,8;23,9
2010M01;1,1;-1;15,1;-25,4;20,7;-4,1;-21,4;-19,6;15,8;-6,6;69,5;26,5;23,2
2010M02;1,8;1,2;14,2;-24,2;17,5;0,2;-24,2;-15,5;19,4;-3,3;65,9;26,4;21,3
2010M03;-1;1,6;16,5;-25,4;13,3;-11;-15,8;-8,8;13,8;-7,5;69;28,3;23,9
2010M04;4,2;2,3;16,6;-14,9;18;-0,9;-19,8;-9,9;-0,4;-2,3;66,2;30,7;28,2
2010M05;3;3;12,7;-12,5;18;-6,1;-20;-7,7;-4,3;-3,4;75,1;36,9;28,9
2010M06;-1,5;0;10,7;-20,7;11,8;-9,1;-19,8;-8,8;-0,4;-7,1;72,7;30,3;28,4
2010M07;4,1;2,5;15,5;-9,7;17,9;-5,9;-16,5;-5,1;-9,5;-4,4;67,7;25,8;26,1
2010M08;4,4;1,8;11,8;-2,9;16,5;-5,3;-10,7;3,3;-1,5;-7,5;68;28,8;26,5
2010M09;2,3;1,1;10,7;-7,3;11,5;-4,6;-11,8;2,3;1,5;-1,7;69,4;24,8;23,9
2010M10;0,6;-0,3;13,2;-12,1;11,1;-8,7;-7;10,1;2,2;-6;65,9;21,5;25,8
2010M11;3,6;2,8;11,9;-8,7;13,5;-1,6;-5,2;12,6;12,6;-5,3;69,5;24,7;26,6
2010M12;-0,7;-0,7;11,9;-12,6;11,1;-13,1;-2,4;12,2;8,9;-6,5;71,4;23,9;26,7
2011M01;3,3;-0,8;10,1;-1,4;14,1;-5,4;-0,1;14,8;3,3;-5,5;71,6;17,2;20,7
2011M02;-0,5;-0,6;10,4;-10,8;8,7;-10,5;4,6;26,2;2,6;-5,2;68,8;15,6;22,7
2011M03;-0,8;2,5;9,7;-11,1;5,8;-11;17,8;29,6;2,9;-4,7;71,4;27,2;30,3
2011M04;2;-0,6;11,2;-4,7;12,1;-7,8;19,4;19,9;-9,3;-4,1;72,1;23,9;26,2
2011M05;2,6;-1;11,9;0,6;14,5;-12,9;17,6;20,5;-5,5;-4,2;66,5;23,2;22,8
2011M06;3;1,8;11,3;-2,7;13,5;-9;14,4;15,2;-14,2;-4,2;67,6;27,2;26,8
2011M07;-0,6;0;10,7;-9,5;5,8;-9,9;21;13,8;-1,2;-5,1;69,1;30,3;26,7
2011M08;-2,2;-2;7,2;-13,6;1,4;-3,9;17,3;10,3;10,5;-7,4;64,8;25,6;25,4
2011M09;-3,6;-2;8,4;-17,9;7,2;-13,7;13,6;9,8;9,1;-5,3;63,1;27,9;23,6
2011M10;-6,6;-4,1;7;-17,9;-5,6;-12,4;15,6;27,4;13,3;-8,7;66;20,4;22,6
2011M11;-9,2;-6;1,8;-21;-11,6;-9,1;23,1;26,1;18,2;-9,2;61;18,4;23,7
2011M12;-9,8;-3,6;4,5;-27,2;-11,5;-11,4;22,8;23;24,5;-9,5;63,9;22,1;24,6
2012M01;-7;-3;7,1;-26,2;-4,9;-7,9;23,4;17,2;26,1;-10,3;65,2;20,6;21,6
2012M02;-4,8;-6,1;8,6;-18,5;1,7;-9,7;26,8;16,1;12,3;-8,5;66,3;23,7;22,5
2012M03;-0,4;-2;8,5;-10,5;10,4;-8,5;30,9;17;-2,7;-6,4;65,4;25,9;24
2012M04;0,6;-4,3;10,3;-4,9;13,2;-11,5;28,2;12,1;-2,5;-7,1;67,4;21,5;26,4
2012M05;-0,4;-3,9;6,2;-6,2;8,4;-6,4;27,5;15,9;1,9;-5,8;67,1;25,3;26,2
2012M06;-2,6;-2,6;7;-9,8;4,7;-12,2;28;19,4;4,8;-7;65,1;22,2;25,1
2012M07;0,1;1,2;9,3;-9,4;7,6;-8,2;32,2;14,9;4,6;-6,2;63,2;21,5;23,5
2012M08;0;-0,3;6,5;-9,1;6,4;-3,7;23,4;13,4;8,1;-6,9;66,2;28,5;25,3
2012M09;-2,2;-0,1;7,4;-13,2;2,9;-7,7;25,8;15,3;14,2;-5,8;66,2;25,1;26,2
2012M10;-5,5;-4,8;8,8;-19;-1,8;-10,6;32;20,2;18,4;-9,2;65,8;21,4;23,2
2012M11;-1,3;-2,4;10,2;-11,4;5,7;-8,8;25,7;12,1;13,9;-4,7;63,9;25;25,3
2012M12;-4,7;-5,7;5,8;-13,2;5,3;-15,5;22,6;10,3;16,2;-7,7;62,5;23,7;23,4
2013M01;-2,7;-2;7,3;-13;3,3;-9,1;16;4,5;18,3;-9,5;62,4;18,4;24,2
2013M02;-2;-2;8,5;-11,9;5,8;-10,2;11,5;12,6;13,6;-5,1;62,4;21,4;23,4
2013M03;-2,1;-3,5;9,9;-7,8;7;-15,8;10,3;15,2;9,1;-8,2;66,1;23,3;24,8
2013M04;-2,8;-4,6;9,5;-8,2;7,6;-18,2;12;12,4;5,9;-4,7;61,8;20,6;21,5
2013M05;-2,6;-2,7;9,6;-9,2;5,2;-15,9;5,5;7,3;4,1;-6,7;65,3;26,1;24,5
2013M06;3,4;2;10,1;-1,6;13,2;-6,9;4,1;10,5;-1,7;-3,2;63,9;22,9;26,4
2013M07;3,7;-2,4;10,4;2,6;14,5;-6,4;7,2;12,5;-4,4;-5,3;61,4;23,8;25,5
2013M08;5,9;-0,5;9,9;7,6;17,6;-5,1;7,5;13,1;-9,1;-4,9;65,4;28,6;27
2013M09;4,7;1,8;11,3;4;16,7;-10,2;5,8;16,8;-4,5;-7,4;71,2;32,4;24,9
2013M10;4,6;-1;11,3;5,9;18,5;-11,8;6,2;14;-7,3;-5,1;68,8;23,4;20,4
2013M11;4;-1,6;8,8;7,4;16,1;-10,6;3,4;16,4;-5,5;-6,3;64,4;22,2;24
2013M12;2,9;-0,8;9,6;4,5;13,9;-12,7;3;15,7;-5,4;-4,2;66,2;24,1;24,4
2014M01;6,3;0;10,1;10,2;20,4;-9;-5,7;14,5;-9;-4,5;66,9;24,6;25,6
2014M02;4,2;-0,8;9,7;6,1;15,4;-9,4;-1,2;15,9;-6,8;-8;64,7;32,2;28,6
2014M03;5;-1,7;10,7;7,4;16,4;-7,8;0,1;21,7;-7,2;-5,2;60,3;19,7;24,1
2014M04;5,5;0,7;8,6;7,6;16,1;-5,5;-3;23,5;-7,3;-6,6;60,4;23,2;25,8
2014M05;7,8;0,9;12,7;11,3;19,2;-5;-1,5;18,3;-10,6;-5,1;62,5;31,7;28,2
2014M06;9,3;1,5;12,1;16,2;25;-8,2;1,4;22,7;-18,5;-3,2;57,9;29,3;24,5
2014M07;10,6;3;15,1;16,6;25,5;-7,2;-3,1;17;-17,9;-2,4;59,5;24,1;23,6
2014M08;11,4;4,8;14,6;17,6;25;-4,7;-3,9;19,9;-15,8;-3,4;58,9;27,9;26
2014M09;7,1;2,1;13,1;11,9;16,8;-8,2;-3,6;19,1;-7,3;-5,4;64,6;22,7;20,9
2014M10;8,2;4,3;15,1;14,7;16,8;-9,9;-6;23,2;-4,6;-5,3;58,8;24,3;26,6
2014M11;6,3;2,9;13,1;9,8;14,1;-8,5;-2,1;17,8;-5,9;-6,2;63,2;26,8;25,3
2014M12;6;5,9;12,8;9,9;13,1;-11,6;-8,2;16,3;-0,4;-1,9;61,5;28,1;24,8
2015M01;9;8,3;11,8;13,6;16,6;-5,3;-15,5;8,1;-8;-2,8;58,3;24;25,1
2015M02;9,1;4,1;14;12,2;17,6;-2,3;-19,1;11,6;-9,7;-3,8;59,8;24,9;22,5
2015M03;13,9;5,7;17,1;20,2;25,6;1,1;-18,6;12,4;-17;-2,6;57,9;30,4;24,4
2015M04;13,7;3,6;17,4;22,4;25,3;-0,2;-11,4;17,9;-16;-2,5;51,9;26;27,7
2015M05;13;8;14,9;20,9;23,3;-1,9;-7,8;20,8;-14;-4,1;61,3;29,5;28,1
2015M06;9,8;3,8;13;17,1;21,1;-5,9;-6,1;21,5;-15,7;-3,5;65,5;28,8;25,8
2015M07;9,5;7,4;14,3;19;14;-7,4;-10,2;16;-12,5;-1,6;59;26,4;27,9
2015M08;9,2;6,8;14,3;15,2;14,6;-5,1;-12;14,5;-11,4;-6;61,9;32,4;30,3
2015M09;5;3,1;10,7;12,2;5,6;-6,9;-10,9;15,8;-8,5;-3,1;62,9;29;24,6
2015M10;3;2,1;10,9;7,6;6,2;-11,7;-12,5;20;-6,6;-5,2;58,3;23;26,3
2015M11;5,6;4,3;14;10,8;4,6;-5,7;-15,3;15,4;-4,2;-2,9;66,8;30,5;26,4
2015M12;6,1;9,6;11,5;11,1;6,5;-8,4;-12,5;13,4;-4,6;-6,2;65,8;29,4;28,7
2016M01;4,6;4,5;11,4;11,1;2;-6,1;-17,1;15;-2,5;-6,2;60,6;24,5;24,9
2016M02;4;5,5;12,5;7,6;0,1;-5,9;-18,8;10,3;0,2;-4;64,8;32;26,9
2016M03;3,6;4,2;11;6,8;1;-4,8;-19,2;13,1;2,8;-5,4;64,4;30,1;25,2
2016M04;5,5;6,7;13,6;8,8;5;-6,7;-15,3;16;-0,2;-3,9;57,7;25,6;27,9
2016M05;3,2;4,7;11,6;4;1,6;-5,7;-12,1;12,5;2,3;-2,7;65,6;30,1;28,3
2016M06;4,4;6,2;12,4;5,1;3,7;-5,2;-12;18,5;-0,3;-2,7;60,5;28,9;26,5
