;Forbrugertillidsindikatoren;Familiens økonomiske situation i dag, sammenlignet med for et år siden;Familiens økonomiske  situation om et år, sammenlignet med i dag;Danmarks økonomiske situation i dag, sammenlignet med for et år siden;Danmarks økonomiske situation om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket;Priser i dag, sammenlignet med for et år siden;Priser om et år, sammenlignet med i dag;Arbejdsløsheden om et år, sammenlignet med i dag;Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.;Anser det som fornuftigt at spare op i den nuværende økonomiske situation;Regner med at kunne spare op i de kommende 12 måneder;Familiens økonomiske situation lige nu: kan spare/penge slår til/ bruger mere end man tjener
2022M07;-25,6;-21,3;-7,2;-45,5;-23;-30,7;66,7;22,5;18,1;-17,5;60,8;26;18,4
2022M08;-25,1;-21,5;-4,6;-48,3;-13,7;-37,7;71,2;0,8;15,8;-17,5;63;26,9;23,7
2022M09;-32,1;-29,4;-9,2;-55,6;-22,4;-44;73,3;17,8;17,9;-20;60,3;16,6;16,4
2022M10;-37;-32,1;-14,1;-64,1;-24,3;-50,7;70,9;18,9;31,3;-27,4;64,9;12,3;18,5
2022M11;-30,4;-32,4;-4,9;-60;-12,1;-42,3;72,6;6,4;25,7;-25,7;59,7;14,2;19,4
2022M12;-28,9;-30,9;-5,3;-56,5;-11,7;-40,3;70,8;-0,9;30,3;-21,5;63,6;18,4;17,7
2023M01;-26,1;-26,2;-1,2;-54,9;-6,3;-41,9;62,6;-11;27,4;-18,9;64,3;26,6;21,1
2023M02;-25,1;-27;-0,3;-49,8;-6,4;-41,8;63,1;-8;28,4;-17,9;64,3;23,8;19,8
2023M03;-23,1;-31,2;0,4;-44,5;-0,7;-39,6;61;-8,5;18,6;-15,5;64,4;22;19,8
2023M04;-18,2;-21,1;2;-36,1;-3,2;-32,5;57,4;-11,5;20;-11;57,9;22;19,6
2023M05;-15,1;-23,7;3,6;-26,6;5,6;-34,2;51,2;-19,3;14,1;-8,1;61,2;24,5;20,1
2023M06;-10,9;-18,8;5,1;-15;5,1;-30,9;46,2;-17,3;8,8;-6,4;60;29,1;25,6
2023M07;-10,1;-16,2;3,6;-12,6;4,6;-29,9;45,4;-12,7;11,3;-9,8;60,8;26,9;24,8
2023M08;-10,9;-15,2;2;-13,4;2,4;-30,1;37,7;-12,1;7;-9,1;61,8;24,8;22,6
2023M09;-13;-17,5;-0,2;-16,8;-2;-28,3;34,6;-3,2;10,3;-9,7;63,1;27,6;20,3
2023M10;-11,8;-17,4;2,5;-11,6;-4,6;-27,6;28,1;-0,8;11,4;-11,3;63;27,5;21,9
2023M11;-10,3;-14;5,2;-11,2;-5,8;-25,9;27,4;-1,3;11,5;-10,6;69,1;29,4;23
2023M12;-13;-17,5;1;-17,4;-6,6;-24,3;23,1;-2,5;13,9;-8,3;63,4;22,9;18,5
2024M01;-8,4;-11,7;4,9;-10;-3,6;-21,6;22,8;2,8;10,7;-7,3;62,8;22,4;20,7
2024M02;-7,4;-10,6;5,2;-7,1;-2,4;-22;15,7;2,4;12;-7,3;62,6;27,1;22,4
2024M03;-7,6;-9,7;0,6;-5,7;-5;-18,1;15,9;7,4;9;-6;63,6;29,2;25,7
2024M04;-8,6;-10,9;3,8;-8,7;-7,8;-19,3;22;9,9;9;-8,3;62,7;27,8;24,4
2024M05;-6,5;-6,4;6,4;-8,4;-5,4;-18,9;20,2;12,6;7,7;-4,7;64,3;31,6;27
2024M06;-4,4;-5,9;5,2;-1,9;-1,8;-17,5;22,8;10,5;6,5;-4;63,7;29,7;28,3
2024M07;-5,4;-4,2;4,1;-5;-7,3;-14,5;25,9;18,1;7;-4,5;66;27,1;26,4
2024M08;-7,4;-7,2;3,2;-8,1;-8,9;-16,2;24,9;16,7;5;-5,2;64,9;28,3;24,8
2024M09;-6,8;-4,2;2,9;-8,8;-9,5;-14,6;29,1;19,7;9,5;-5,6;64,2;25,7;26,3
2024M10;-8,9;-8,9;-1;-9,8;-8,5;-16,1;28;21;10,2;-8;65,3;26,1;26,9
2024M11;-9,3;-10,1;0;-12,5;-10,9;-13,1;27,4;23,2;13,7;-3,7;67,2;30,1;25,3
2024M12;-13,1;-11,2;-1,2;-17,2;-18;-18;31,6;29,6;13;-7,5;65;26,8;24
2025M01;-11,7;-5,3;-1;-15,9;-18,6;-17,8;32,8;29,2;10,1;-7;62,4;23,8;26,3
2025M02;-14,5;-5,2;-4,8;-20,6;-29,3;-12,6;33,3;37;16,2;-6,2;66,5;30;29,1
2025M03;-15,5;-8;-1,9;-21,6;-30,8;-15,1;37,8;42,8;17,1;-7,7;66,2;29,1;27,7
2025M04;-17;-10,1;-6,4;-23;-31,7;-13,6;36,3;40,5;16;-7,6;63,5;23;26,3
2025M05;-18,4;-12,7;-5,5;-32;-28,6;-13,4;44;40,8;19,1;-7,1;..;26,3;23,7
2025M06;-15,1;-11,9;-4,7;-22,1;-22,8;-14,2;47,3;36,7;12,9;-9,7;..;24,6;26,5
2025M07;-15,7;-11,1;-5,8;-21,9;-23,5;-16;52,6;36,1;11;-7,2;..;22,9;23,9
2025M08;-17,2;-13;-5,4;-26,3;-25,5;-15,9;51,8;35,4;11,9;-10,5;..;23,5;23,9
2025M09;-18,7;-19,3;-6,7;-29,1;-21,7;-16,8;58,1;29,6;13,9;-11,3;..;20;21,5
